"Street Address","Suburb","State","Postcode","Property Type","Bed","Bath","Car","Land Size (m²)","Floor Size (m²)","Year Built","Sale Price","Sale Date","Sale Type","Agency","Land Use","Development Zone","Parcel Details","Owner Type","Open in RPData"
"33 COBHAM ROAD ","MITCHAM","VIC","3132","House: One Storey / Lowset","3","2","1","359","128","2009","$1,055,000","21 Jun 2025","Pending Settlement Advice","Jellis Craig - Whitehorse","Detached Dwelling (existing)","Neighbourhood Residential Zone - Schedule 4","1/PS614325","Owner Occupied","https://rpp.corelogic.com.au/property/33-cobham-road-mitcham-vic-3132/11848496"
"8 PEEL STREET ","MITCHAM","VIC","3132","House: One Storey / Lowset","3","2","1","491","115","1980","$1,261,000","21 Jun 2025","-","Jellis Craig - Whitehorse","Detached Dwelling","General Residential Zone - Schedule 1","83/LP2105","Owner Occupied","https://rpp.corelogic.com.au/property/8-peel-street-mitcham-vic-3132/11856514"
"33 WALWA STREET ","MITCHAM","VIC","3132","House: One Storey / Lowset","4","2","2","567","300","2012","$1,921,000","21 Jun 2025","Pending Settlement Advice","Jellis Craig - Whitehorse","Vacant Residential Dwelling Site/Surveyed Lot","Neighbourhood Residential Zone - Schedule 3","2/PS613319","Owner Occupied","https://rpp.corelogic.com.au/property/33-walwa-street-mitcham-vic-3132/15740024"
"HARRISON STREET ","MITCHAM","VIC","3132","Unit: Standard","2","-","-","389","-","1980","$1,026,000","20 Jun 2025","-","-","Single Strata Unit/Villa Unit/Townhouse","Residential Growth Zone - Schedule 1","10/SP27516","Owner Occupied","https://rpp.corelogic.com.au/property/harrison-street-mitcham-vic-3132/34382378"
"5/18 HARRISON STREET ","MITCHAM","VIC","3132","Unit: Standard","3","2","2","472","146","1980","$1,026,000","20 Jun 2025","-","Noel Jones Whitehorse","Single Strata Unit/Villa Unit/Townhouse","Residential Growth Zone - Schedule 1","LOT 4 TP13659 & LOT 5 SP27516","Owner Occupied","https://rpp.corelogic.com.au/property/5-18-harrison-street-mitcham-vic-3132/11851975"
"307/339 MITCHAM ROAD ","MITCHAM","VIC","3132","Flats: Self Contained","2","1","1","1,784","68.4","2014","$437,500","18 Jun 2025","-","Noel Jones Whitehorse","OYO Subdivided Flat","Commercial 1 Zone","307/PS703655","Owner Occupied","https://rpp.corelogic.com.au/property/307-339-mitcham-road-mitcham-vic-3132/16521574"
"16 MCDOWALL STREET ","MITCHAM","VIC","3132","House: One Storey / Lowset","3","1","2","669","124","-","Not Disclosed","15 Jun 2025","Pending Settlement Advice","Flechters Blackburn","-","General Residential Zone - Schedule 2","LOTS 1-2 TP673853","Owner Occupied","https://rpp.corelogic.com.au/property/16-mcdowall-street-mitcham-vic-3132/11853742"
"1/18 COOK ROAD ","MITCHAM","VIC","3132","Unit: Standard","2","1","2","249","93","2006","$842,000","14 Jun 2025","-","Flechters Blackburn","Single Strata Unit/Villa Unit/Townhouse","Neighbourhood Residential Zone - Schedule 4","1/PS537811","Rented","https://rpp.corelogic.com.au/property/1-18-cook-road-mitcham-vic-3132/11848791"
"19 OWEN STREET ","MITCHAM","VIC","3132","House: One Storey / Lowset","5","2","2","603","115","1950","$2,370,000","14 Jun 2025","Pending Settlement Advice","Jellis Craig - Whitehorse","Detached Dwelling","Neighbourhood Residential Zone - Schedule 3","84/LP17076","Owner Occupied","https://rpp.corelogic.com.au/property/19-owen-street-mitcham-vic-3132/11856209"
"2/5 VALENCY COURT ","MITCHAM","VIC","3132","Unit: Standard","5","2","2","280","180","1965","$1,360,000","14 Jun 2025","-","CHN Real Estate Group","Single Strata Unit/Villa Unit/Townhouse","Neighbourhood Residential Zone - Schedule 3","2/PS737141","Owner Occupied","https://rpp.corelogic.com.au/property/2-5-valency-court-mitcham-vic-3132/17177322"
"1/16 WARNES ROAD ","MITCHAM","VIC","3132","House: One Storey / Lowset","4","3","2","321","-","-","$1,207,500","14 Jun 2025","Pending Settlement Advice","Belle Property Doncaster East","-","Neighbourhood Residential Zone - Schedule 3","1/PS727280","Owner Occupied","https://rpp.corelogic.com.au/property/1-16-warnes-road-mitcham-vic-3132/17270254"
"211/569 WHITEHORSE ROAD ","MITCHAM","VIC","3132","Unit: Standard","2","2","1","3,197","78","2017","$0","12 Jun 2025","Nils And Wills","Harcourts Select","Strata Unit or Flat  (Unspecified)","Residential Growth Zone - Schedule 1","303B/PS701327","Government Owned - Rented","https://rpp.corelogic.com.au/property/211-569-whitehorse-road-mitcham-vic-3132/18078749"
"2A PANEL STREET ","MITCHAM","VIC","3132","Unit: Standard","2","1","1","277","82","-","$880,000","11 Jun 2025","-","Barry Plant - Wantirna","Detached Dwelling","Neighbourhood Residential Zone - Schedule 3","2/PS334946","Owner Occupied","https://rpp.corelogic.com.au/property/2a-panel-street-mitcham-vic-3132/11856365"
"43 CULWELL AVENUE ","MITCHAM","VIC","3132","Unit: Standard","1","2","1","262","141","2009","$883,000","07 Jun 2025","-","hockingstuart Ringwood","OYO Subdivided Dwelling","Neighbourhood Residential Zone - Schedule 3","1/PS632924","Rented","https://rpp.corelogic.com.au/property/43-culwell-avenue-mitcham-vic-3132/15071404"
"HARRISON STREET ","MITCHAM","VIC","3132","Unit: Standard","3","-","-","354","102","1975","$1,048,000","07 Jun 2025","-","-","Single Strata Unit/Villa Unit/Townhouse","Neighbourhood Residential Zone - Schedule 4","12/SP22692","Owner Occupied","https://rpp.corelogic.com.au/property/harrison-street-mitcham-vic-3132/36807236"
"6/17 HARRISON STREET ","MITCHAM","VIC","3132","Unit: Standard","3","2","2","354","141.8","1985","$1,048,000","07 Jun 2025","-","McGrath Box Hill","Single Strata Unit/Villa Unit/Townhouse","Neighbourhood Residential Zone - Schedule 4","6/SP22692","Owner Occupied","https://rpp.corelogic.com.au/property/6-17-harrison-street-mitcham-vic-3132/11851967"
"308/339 MITCHAM ROAD ","MITCHAM","VIC","3132","Flats: Self Contained","2","1","1","1,784","83","2014","$480,000","03 Jun 2025","-","-","OYO Subdivided Flat","Commercial 1 Zone","308/PS703655","Owner Occupied","https://rpp.corelogic.com.au/property/308-339-mitcham-road-mitcham-vic-3132/16989441"
"CARWEEN AVENUE ","MITCHAM","VIC","3132","Unit: Standard","2","-","-","92","-","-","$540,000","31 May 2025","-","-","Single Strata Unit/Villa Unit/Townhouse","Neighbourhood Residential Zone - Schedule 3","8/RP2059","Owner Occupied","https://rpp.corelogic.com.au/property/carween-avenue-mitcham-vic-3132/36005940"
"4/11 CARWEEN AVENUE ","MITCHAM","VIC","3132","Unit: Standard","2","1","1","92","106","1975","$540,000","31 May 2025","-","Noel Jones Whitehorse","Single Strata Unit/Villa Unit/Townhouse","Neighbourhood Residential Zone - Schedule 3","4/RP2059","Owner Occupied","https://rpp.corelogic.com.au/property/4-11-carween-avenue-mitcham-vic-3132/11847692"
"223 MITCHAM ROAD ","MITCHAM","VIC","3132","House: Standard","5","3","1","689","225","1960","$1,370,000","31 May 2025","-","Harcourts Manningham","Detached Dwelling","Neighbourhood Residential Zone - Schedule 4","4/LP53340","Owner Occupied","https://rpp.corelogic.com.au/property/223-mitcham-road-mitcham-vic-3132/11854286"
"19 NARA ROAD ","MITCHAM","VIC","3132","House: Standard","5","4","2","651","205","1970","$1,093,000","31 May 2025","-","Noel Jones Whitehorse","Detached Dwelling","Neighbourhood Residential Zone - Schedule 1","1/TP580227","Owner Occupied","https://rpp.corelogic.com.au/property/19-nara-road-mitcham-vic-3132/11855453"
"408 SPRINGFIELD ROAD ","MITCHAM","VIC","3132","House: One Storey / Lowset","5","4","2","714","176","1965","$1,365,000","31 May 2025","Pending Settlement Advice","McGrath Blackburn","Detached Dwelling","General Residential Zone - Schedule 1","98/LP51868","Owner Occupied","https://rpp.corelogic.com.au/property/408-springfield-road-mitcham-vic-3132/11858720"
"3 WALKER AVENUE ","MITCHAM","VIC","3132","House: Standard","4","2","4","1,020","-","-","$2,154,000","31 May 2025","-","LOCI Blackburn","Detached Dwelling","Neighbourhood Residential Zone - Schedule 3","4/LP8289","Owner Occupied","https://rpp.corelogic.com.au/property/3-walker-avenue-mitcham-vic-3132/11859888"
"16 WALWA STREET ","MITCHAM","VIC","3132","House: Standard","2","1","2","705","105","-","$1,221,000","31 May 2025","-","Woodards Blackburn","Detached Dwelling","Neighbourhood Residential Zone - Schedule 3","165/LP11819","Rented","https://rpp.corelogic.com.au/property/16-walwa-street-mitcham-vic-3132/11860071"
"24 RESERVE AVENUE ","MITCHAM","VIC","3132","Unit: Townhouse/Villa","3","1","1","361","98","1960","$855,000","30 May 2025","-","Barry Plant Heathmont & Ringwood","Detached Dwelling","Neighbourhood Residential Zone - Schedule 3","1/PS607445","Rented","https://rpp.corelogic.com.au/property/24-reserve-avenue-mitcham-vic-3132/11857612"
"21 WILLOW AVENUE ","MITCHAM","VIC","3132","House: One Storey / Lowset","3","1","1","639","-","-","$1,205,000","28 May 2025","-","Barry Plant - Blackburn","Detached Dwelling","Neighbourhood Residential Zone - Schedule 3","13/LP34201","Owner Occupied","https://rpp.corelogic.com.au/property/21-willow-avenue-mitcham-vic-3132/11861174"
"13 ALBERT STREET ","MITCHAM","VIC","3132","House: Standard","3","3","2","414","-","1950","$1,650,000","27 May 2025","-","Woodards Blackburn","Detached Dwelling","General Residential Zone - Schedule 1","34/LP2105","Owner Occupied","https://rpp.corelogic.com.au/property/13-albert-street-mitcham-vic-3132/11846240"
"208A/1 COLOMBO STREET ","MITCHAM","VIC","3132","Flats: Self Contained","2","2","1","3,890","64","2012","$405,000","27 May 2025","-","Noel Jones Whitehorse","OYO Subdivided Flat","Mixed Use Zone","208A/PS632398","Rented","https://rpp.corelogic.com.au/property/208a-1-colombo-street-mitcham-vic-3132/16172900"
"26 COBHAM ROAD ","MITCHAM","VIC","3132","House","3","2","2","535","139","1968","$1,100,000","24 May 2025","Pending Settlement Advice","CHN Real Estate Group","-","Neighbourhood Residential Zone - Schedule 4","-","Owner Occupied","https://rpp.corelogic.com.au/property/26-cobham-road-mitcham-vic-3132/34408148"
"4 ENDEAVOUR STREET ","MITCHAM","VIC","3132","House: One Storey / Lowset","5","2","2","533","268","2014","Not Disclosed","24 May 2025","Pending Settlement Advice","Biggin & Scott Manningham","Detached Dwelling","Neighbourhood Residential Zone - Schedule 4","1/PS636811","Owner Occupied","https://rpp.corelogic.com.au/property/4-endeavour-street-mitcham-vic-3132/11850586"
"LOT 19 HEATHERDALE ROAD ","MITCHAM","VIC","3132","Other","-","-","-","1,286","-","1990","$770,000","23 May 2025","-","-","Single Strata Unit/Villa Unit/Townhouse","General Residential Zone - Schedule 2","19/SP32228","-","https://rpp.corelogic.com.au/property/lot-19-heatherdale-road-mitcham-vic-3132/35598029"
"9/32-36 HEATHERDALE ROAD ","MITCHAM","VIC","3132","Unit: Townhouse/Villa","3","1","2","140","120","1990","$770,000","23 May 2025","-","For Sale By Owner Australia Pty. Ltd.","Single Strata Unit/Villa Unit/Townhouse","General Residential Zone - Schedule 2","9/SP32228","Owner Occupied","https://rpp.corelogic.com.au/property/9-32-36-heatherdale-road-mitcham-vic-3132/11852173"
"25 NYMPH STREET ","MITCHAM","VIC","3132","House: Standard","2","1","3","705","120","-","$1,177,000","20 May 2025","-","Jellis Craig - Whitehorse","Detached Dwelling","Neighbourhood Residential Zone - Schedule 3","144/LP11819","Owner Occupied","https://rpp.corelogic.com.au/property/25-nymph-street-mitcham-vic-3132/11855601"
"23 DUDLEY STREET ","MITCHAM","VIC","3132","House: Standard","4","2","2","502","277","2001","$1,600,888","16 May 2025","-","Frederick Property","Detached Dwelling","Neighbourhood Residential Zone - Schedule 3","2/PS500538","Owner Occupied","https://rpp.corelogic.com.au/property/23-dudley-street-mitcham-vic-3132/11850257"
"7/8 HARRISON STREET ","MITCHAM","VIC","3132","Unit: Townhouse/Villa","3","2","2","205","153","2000","$990,000","15 May 2025","-","Ray White Ringwood","Single Strata Unit/Villa Unit/Townhouse","Residential Growth Zone - Schedule 1","7/PS432939","Owner Occupied","https://rpp.corelogic.com.au/property/7-8-harrison-street-mitcham-vic-3132/11851895"
"4 PANEL STREET ","MITCHAM","VIC","3132","Unit: Standard","2","3","2","467","222","2024","$1,700,000","15 May 2025","-","Barry Plant Manningham - Whitehorse","OYO Unit","-","4/PS908661","Owner Occupied","https://rpp.corelogic.com.au/property/4-panel-street-mitcham-vic-3132/52051084"
"2/23 COOK ROAD ","MITCHAM","VIC","3132","Business: Transport & Storage","-","-","4","7,874","220","-","$1,080,000","13 May 2025","-","ROSE REAL ESTATE","Warehouse","Industrial 3 Zone","2/PS646411","-","https://rpp.corelogic.com.au/property/2-23-cook-road-mitcham-vic-3132/16031631"
"366 MITCHAM ROAD ","MITCHAM","VIC","3132","Unit: Standard","2","1","-","244","158","-","$626,500","13 May 2025","-","Docking Real Estate","Single Strata Unit/Villa Unit/Townhouse","Neighbourhood Residential Zone - Schedule 4","2/PS309634","Owner Occupied","https://rpp.corelogic.com.au/property/366-mitcham-road-mitcham-vic-3132/11854550"
"5 PURCHES STREET ","MITCHAM","VIC","3132","House: Standard","4","2","1","704","191","1960","$600,000","13 May 2025","-","Jellis Craig Whitehorse","Detached Dwelling","General Residential Zone - Schedule 2","7/LP65463","Owner Occupied","https://rpp.corelogic.com.au/property/5-purches-street-mitcham-vic-3132/11856974"
"8/9-13 PERCY STREET ","MITCHAM","VIC","3132","Unit: Standard","2","1","1","183","78","1976","$640,000","12 May 2025","-","Barry Plant - Blackburn","Single Strata Unit/Villa Unit/Townhouse","General Residential Zone - Schedule 2","8/SP23968","Owner Occupied","https://rpp.corelogic.com.au/property/8-9-13-percy-street-mitcham-vic-3132/16541430"
"11 RONALD STREET ","MITCHAM","VIC","3132","House: One Storey / Lowset","4","3","2","683","294","2016","Not Disclosed","12 May 2025","Pending Settlement Advice","Noel Jones Whitehorse","Detached Dwelling","Neighbourhood Residential Zone - Schedule 3","34/LP17076","Owner Occupied","https://rpp.corelogic.com.au/property/11-ronald-street-mitcham-vic-3132/11857679"
"59 BARKLY TERRACE ","MITCHAM","VIC","3132","House: One Storey / Lowset","2","1","1","202","82","2018","$845,000","10 May 2025","-","CHN Real Estate Group","Single Strata Unit/Villa Unit/Townhouse","General Residential Zone - Schedule 2","1/PS507120","Owner Occupied","https://rpp.corelogic.com.au/property/59-barkly-terrace-mitcham-vic-3132/11846795"
"1/11 COBHAM ROAD ","MITCHAM","VIC","3132","Unit","2","1","1","243","95","1970","$832,000","10 May 2025","-","Jellis Craig - Whitehorse","Single Strata Unit/Villa Unit/Townhouse","Neighbourhood Residential Zone - Schedule 4","1/RP3137","Owner Occupied","https://rpp.corelogic.com.au/property/1-11-cobham-road-mitcham-vic-3132/11848436"
"5 FULLER STREET ","MITCHAM","VIC","3132","House: One Storey / Lowset","5","3","1","615","110","-","$1,376,000","10 May 2025","-","Woodards Blackburn","Detached Dwelling","Neighbourhood Residential Zone - Schedule 3","8/LP42200","Owner Occupied","https://rpp.corelogic.com.au/property/5-fuller-street-mitcham-vic-3132/11850946"
"7 GRACE COURT ","MITCHAM","VIC","3132","House: One Storey / Lowset","3","1","1","664","-","-","$1,441,000","10 May 2025","Pending Settlement Advice","Barry Plant - Blackburn","-","Neighbourhood Residential Zone - Schedule 3","46/LP28067","Owner Occupied","https://rpp.corelogic.com.au/property/7-grace-court-mitcham-vic-3132/11851532"
"15 OWEN STREET ","MITCHAM","VIC","3132","House: Standard","5","2","2","599","-","-","$1,500,000","10 May 2025","-","Woodards Blackburn","Detached Dwelling","Neighbourhood Residential Zone - Schedule 3","82/LP17076","Owner Occupied","https://rpp.corelogic.com.au/property/15-owen-street-mitcham-vic-3132/11856200"
"525B/1 COLOMBO STREET ","MITCHAM","VIC","3132","Unit: Standard","1","1","1","3,890","-","2012","$275,000","08 May 2025","-","BigginScott Mitcham","OYO Subdivided Flat","Mixed Use Zone","515B/PS632398","Rented","https://rpp.corelogic.com.au/property/525b-1-colombo-street-mitcham-vic-3132/16176855"
"HARRISON STREET ","MITCHAM","VIC","3132","Unit: Standard","2","-","-","258","-","1975","$880,000","08 May 2025","-","-","Single Strata Unit/Villa Unit/Townhouse","Neighbourhood Residential Zone - Schedule 4","7/SP22692","Owner Occupied","https://rpp.corelogic.com.au/property/harrison-street-mitcham-vic-3132/34386553"
"1/17 HARRISON STREET ","MITCHAM","VIC","3132","Unit: Standard","2","1","2","259","107","1975","$880,000","08 May 2025","-","Fletchers Blackburn","Single Strata Unit/Villa Unit/Townhouse","Neighbourhood Residential Zone - Schedule 4","1/SP22692","Owner Occupied","https://rpp.corelogic.com.au/property/1-17-harrison-street-mitcham-vic-3132/11851957"
"38 FELLOWS STREET ","MITCHAM","VIC","3132","House: Standard","3","2","2","413","179","1965","$1,395,000","07 May 2025","-","Noel Jones Whitehorse","Detached Dwelling","Neighbourhood Residential Zone - Schedule 4","1/LP57095","Owner Occupied","https://rpp.corelogic.com.au/property/38-fellows-street-mitcham-vic-3132/11850719"
"15 MANORWOOD PLACE ","MITCHAM","VIC","3132","House: One Storey / Lowset","4","2","2","730","203","-","$1,240,000","07 May 2025","-","Jellis Craig - Whitehorse","Detached Dwelling","Neighbourhood Residential Zone - Schedule 1","21/LP144291","Owner Occupied","https://rpp.corelogic.com.au/property/15-manorwood-place-mitcham-vic-3132/11853660"
"1B TARRANGOWER AVENUE ","MITCHAM","VIC","3132","Unit: Townhouse/Villa","3","2","1","219","147","2016","$988,000","07 May 2025","-","FIRST NATIONAL REAL ESTATE WAVERLEY CITY - GLEN WAVERLEY","OYO Subdivided Dwelling","Neighbourhood Residential Zone - Schedule 3","3/PS732447","Rented","https://rpp.corelogic.com.au/property/1b-tarrangower-avenue-mitcham-vic-3132/17708174"
"2/17 DUDLEY STREET ","MITCHAM","VIC","3132","Unit: Standard","2","2","1","861","140","2018","$898,000","03 May 2025","-","Ray White Blackburn","OYO Unit","Neighbourhood Residential Zone - Schedule 3","2/PS800589","Owner Occupied","https://rpp.corelogic.com.au/property/2-17-dudley-street-mitcham-vic-3132/44186455"
"10 HARDWOOD COURT ","MITCHAM","VIC","3132","House","3","1","2","585","155","1984","$1,050,000","03 May 2025","-","Harcourts Vermont South","Detached Dwelling","General Residential Zone - Schedule 1","28/LP54320","Owner Occupied","https://rpp.corelogic.com.au/property/10-hardwood-court-mitcham-vic-3132/11851819"
